total_numeric,sexo_fct,nacionalidad_fct,grupo_quinquenal_de_edad_fct,periodo_fct,raza
1010040,Mujeres,Española,De 15 a 19 años,1 de julio de 2006,Hobbit
1018541,Mujeres,Española,De 15 a 19 años,1 de enero de 2006,Ent
1030209,Mujeres,Española,De 15 a 19 años,1 de julio de 2005,Orco
1042176,Mujeres,Española,De 15 a 19 años,1 de enero de 2005,Ent
1056769,Mujeres,Española,De 15 a 19 años,1 de julio de 2004,Ent
1071516,Mujeres,Española,De 15 a 19 años,1 de enero de 2004,Enano
1089139,Mujeres,Española,De 15 a 19 años,1 de julio de 2003,Humano
1107193,Mujeres,Española,De 15 a 19 años,1 de enero de 2003,Hobbit
1130483,Mujeres,Española,De 15 a 19 años,1 de julio de 2002,Orco
1154153,Mujeres,Española,De 15 a 19 años,1 de enero de 2002,Humano
1034579,Hombres,Española,De 20 a 24 años,1 de enero de 2021,Humano
1025295,Hombres,Española,De 20 a 24 años,1 de julio de 2020,Ent
1016615,Hombres,Española,De 20 a 24 años,1 de enero de 2020,Enano
1011544,Hombres,Española,De 20 a 24 años,1 de julio de 2019,Humano
1006773,Hombres,Española,De 20 a 24 años,1 de enero de 2019,Humano
1008222,Hombres,Española,De 20 a 24 años,1 de julio de 2018,Ent
1010151,Hombres,Española,De 20 a 24 años,1 de enero de 2018,Ent
1014775,Hombres,Española,De 20 a 24 años,1 de julio de 2017,Orco
1019943,Hombres,Española,De 20 a 24 años,1 de enero de 2017,Humano
1025842,Hombres,Española,De 20 a 24 años,1 de julio de 2016,Ent
1030963,Hombres,Española,De 20 a 24 años,1 de enero de 2016,Elfo
1038492,Hombres,Española,De 20 a 24 años,1 de julio de 2015,Ent
1046046,Hombres,Española,De 20 a 24 años,1 de enero de 2015,Enano
1054416,Hombres,Española,De 20 a 24 años,1 de julio de 2014,Orco
1061583,Hombres,Española,De 20 a 24 años,1 de enero de 2014,Ent
1066795,Hombres,Española,De 20 a 24 años,1 de julio de 2013,Ent
1072246,Hombres,Española,De 20 a 24 años,1 de enero de 2013,Elfo
1078147,Hombres,Española,De 20 a 24 años,1 de julio de 2012,Humano
1083409,Hombres,Española,De 20 a 24 años,1 de enero de 2012,Ent
1090527,Hombres,Española,De 20 a 24 años,1 de julio de 2011,Orco
1097456,Hombres,Española,De 20 a 24 años,1 de enero de 2011,Hobbit
1107748,Hombres,Española,De 20 a 24 años,1 de julio de 2010,Orco
1118405,Hombres,Española,De 20 a 24 años,1 de enero de 2010,Ent
1132059,Hombres,Española,De 20 a 24 años,1 de julio de 2009,Humano
1146764,Hombres,Española,De 20 a 24 años,1 de enero de 2009,Humano
1163860,Hombres,Española,De 20 a 24 años,1 de julio de 2008,Elfo
1180654,Hombres,Española,De 20 a 24 años,1 de enero de 2008,Ent
1203703,Hombres,Española,De 20 a 24 años,1 de julio de 2007,Ent
1226982,Hombres,Española,De 20 a 24 años,1 de enero de 2007,Humano
1254411,Hombres,Española,De 20 a 24 años,1 de julio de 2006,Ent
1281850,Hombres,Española,De 20 a 24 años,1 de enero de 2006,Humano
1311640,Hombres,Española,De 20 a 24 años,1 de julio de 2005,Ent
1341245,Hombres,Española,De 20 a 24 años,1 de enero de 2005,Ent
1371270,Hombres,Española,De 20 a 24 años,1 de julio de 2004,Humano
1401003,Hombres,Española,De 20 a 24 años,1 de enero de 2004,Ent
1435567,Hombres,Española,De 20 a 24 años,1 de julio de 2003,Humano
1470345,Hombres,Española,De 20 a 24 años,1 de enero de 2003,Ent
1500712,Hombres,Española,De 20 a 24 años,1 de julio de 2002,Ent
1530924,Hombres,Española,De 20 a 24 años,1 de enero de 2002,Ent
979246,Mujeres,Española,De 20 a 24 años,1 de enero de 2021,Humano
970956,Mujeres,Española,De 20 a 24 años,1 de julio de 2020,Humano
963477,Mujeres,Española,De 20 a 24 años,1 de enero de 2020,Ent
958432,Mujeres,Española,De 20 a 24 años,1 de julio de 2019,Humano
953629,Mujeres,Española,De 20 a 24 años,1 de enero de 2019,Humano
955467,Mujeres,Española,De 20 a 24 años,1 de julio de 2018,Ent
957794,Mujeres,Española,De 20 a 24 años,1 de enero de 2018,Hobbit
962431,Mujeres,Española,De 20 a 24 años,1 de julio de 2017,Ent
967539,Mujeres,Española,De 20 a 24 años,1 de enero de 2017,Humano
972356,Mujeres,Española,De 20 a 24 años,1 de julio de 2016,Ent
976374,Mujeres,Española,De 20 a 24 años,1 de enero de 2016,Ent
984149,Mujeres,Española,De 20 a 24 años,1 de julio de 2015,Hobbit
991841,Mujeres,Española,De 20 a 24 años,1 de enero de 2015,Enano
1000137,Mujeres,Española,De 20 a 24 años,1 de julio de 2014,Ent
1007012,Mujeres,Española,De 20 a 24 años,1 de enero de 2014,Humano
1012164,Mujeres,Española,De 20 a 24 años,1 de julio de 2013,Elfo
1017235,Mujeres,Española,De 20 a 24 años,1 de enero de 2013,Orco
1022709,Mujeres,Española,De 20 a 24 años,1 de julio de 2012,Humano
1027483,Mujeres,Española,De 20 a 24 años,1 de enero de 2012,Ent
1034802,Mujeres,Española,De 20 a 24 años,1 de julio de 2011,Ent
1042016,Mujeres,Española,De 20 a 24 años,1 de enero de 2011,Ent
1052030,Mujeres,Española,De 20 a 24 años,1 de julio de 2010,Hobbit
1062073,Mujeres,Española,De 20 a 24 años,1 de enero de 2010,Hobbit
1075113,Mujeres,Española,De 20 a 24 años,1 de julio de 2009,Hobbit
1089384,Mujeres,Española,De 20 a 24 años,1 de enero de 2009,Ent
1106025,Mujeres,Española,De 20 a 24 años,1 de julio de 2008,Humano
